name,rate,location,cuisines,approx_cost(for two people)
Foodiction,2.8/5,Banashankari,"North Indian, Fast Food, Chinese, Burger",500
Sweet Truth,3.9/5,Banashankari,"Bakery, Desserts",500
Ovenstory Pizza,3.9/5,Banashankari,Pizza,750
Faasos,4.2/5,Banashankari,"North Indian, Biryani, Fast Food",500
Behrouz Biryani,3.9/5,Banashankari,Biryani,650
Fast And Fresh,2.8/5,Banashankari,"North Indian, Chinese, Fast Food",400
Szechuan Dragon,4.2/5,Banashankari,"Chinese, Thai, Momos",600
Empire Restaurant,4.4/5,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750
Maruthi Davangere Benne Dosa,4.0/5,Banashankari,South Indian,150
Chaatimes,3.8/5,Basavanagudi,"Street Food, Fast Food",200
Havyaka Mess,3.9/5,Banashankari,South Indian,300
McDonald's,3.9/5,Banashankari,"Burger, Fast Food",500
Domino's Pizza,3.9/5,Banashankari,"Pizza, Fast Food",800
Onesta,4.6/5,Banashankari,"Pizza, Cafe, Italian",600
Hotboxit,3.8/5,Banashankari,"North Indian, Continental, Italian",400
Kitchen Garden,3.6/5,Kumaraswamy Layout,"North Indian, Chinese",300
Recipe,4.0/5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450
Beijing Bites,3.7/5,Rajarajeshwari Nagar,"Chinese, Thai",850
Tasty Bytes,3.1/5,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300
Petoo,3.7/5,Banashankari,North Indian,450
Shree Cool Point,4.1/5,Vijay Nagar,"Fast Food, Street Food, Beverages",150
Corner House Ice Cream,4.3/5,Banashankari,"Ice Cream, Desserts",400
Biryanis And More,4.0/5,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",750
Roving Feast,4.0/5,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450
FreshMenu,3.9/5,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Banashankari Donne Biriyani,3.8/5,Banashankari,"Biryani, Fast Food",300
Wamama,4.2/5,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800
Five Star Chicken,3.6/5,Banashankari,"Fast Food, Burger",200
XO Belgian Waffle,3.7/5,Banashankari,"Desserts, Beverages",400
Peppy Peppers,4.2/5,Banashankari,"Italian, North Indian, Mexican",800
Goa 0 Km,3.6/5,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800
Chinese Kitchen,3.8/5,Basavanagudi,Chinese,150
1947,4.0/5,Banashankari,"North Indian, Chinese",850
Cake of the Day,3.7/5,Banashankari,Bakery,150
Kabab Magic,4.1/5,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400
Namma Brahmin's Idli,3.6/5,Jayanagar,South Indian,100
Gustoes Beer House,4.1/5,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200"
Sugar Rush,3.8/5,Banashankari,"Bakery, Desserts",300
Burger King,3.2/5,Basavanagudi,"Burger, Fast Food, Beverages",600
The Good Bowl,3.6/5,Banashankari,"Italian, North Indian, Biryani",500
The Biryani Cafe,4.1/5,Banashankari,"Biryani, Chinese, Kebab",300
Spicy Tandoor,NEW,Banashankari,North Indian,150
LSD Cafe,2.9/5,Banashankari,"Chinese, Continental, Italian, North Indian",700
Rolls On Wheels,3.6/5,Banashankari,"Fast Food, Rolls, Momos",300
Om Sri Vinayaka Chats,NEW,Banashankari,"Street Food, Fast Food",500
Sri Guru Kottureshwara Davangere Benne Dosa,4.1/5,Basavanagudi,South Indian,150
Devanna Dum Biriyani Centre,3.6/5,Banashankari,"Biryani, South Indian",300
Kolbeh,3.7/5,Banashankari,Fast Food,500
Upahar Sagar,3.8/5,Banashankari,"South Indian, Chinese, North Indian",350
Kadalu Sea Food Restaurant,3.8/5,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500
Frozen Bottle,4.2/5,Banashankari,"Beverages, Desserts, Ice Cream",400
Parimala Sweets,3.5/5,Banashankari,"Mithai, Street Food",200
Vaishali Deluxe,3.8/5,Banashankari,"North Indian, Chinese",700
Chill Out,,Banashankari,"South Indian, Chinese",100
The Big O Bakes,4.0/5,Banashankari,"Bakery, Desserts",300
Meghana Foods,4.4/5,Jayanagar,"Biryani, North Indian, Chinese",600
Krishna Sagar,3.5/5,Banashankari,North Indian,200
Dessert Rose,3.5/5,Banashankari,Desserts,500
Chickpet Donne Biryani House,3.7/5,Banashankari,Biryani,250
Me And My Cake,,Banashankari,"Bakery, Desserts",500
Sunsadm,,Banashankari,South Indian,400
Annapooraneshwari Mess,,Banashankari,South Indian,200
Thanco's Natural Ice Creams,3.2/5,Banashankari,Ice Cream,300
Nandhini Deluxe,2.6/5,Banashankari,North Indian,600
Vi Ra's Bar and Restaurant,3.3/5,Banashankari,"South Indian, North Indian, Chinese",800
Kaggis,3.8/5,Banashankari,"Fast Food, Bakery",250
Ayda Persian Kitchen,3.7/5,Banashankari,"North Indian, Iranian",950
Chatar Patar,3.7/5,Banashankari,"Fast Food, Street Food",300
Polar Bear,3.8/5,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400
Kidambi's Kitchen,3.5/5,Banashankari,South Indian,300
Mane Thindi,3.7/5,Banashankari,South Indian,200
Kotian Karavali Restaurant,3.5/5,Banashankari,"South Indian, Biryani",300
Floured-Baked With Love,3.8 /5,Banashankari,Bakery,400
CAFE NOVA,3.2/5,Banashankari,"Cafe, Bakery",600
Cakes & Slices,3.5/5,Banashankari,"Bakery, Desserts",300
Spice 9,3.4/5,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300
Coffee Shopee,,Banashankari,Beverages,250
Naveen Kabab & Biriyani Mane,3.2/5,Banashankari,Biryani,300
Katriguppe Donne Biryani,3.2/5,Banashankari,North Indian,300
Hari Super Sandwich,NEW,Banashankari,"Sandwich, Pizza, Beverages",200
Atithi Point Ande Ka Funda,3.1/5,Banashankari,North Indian,150
Just Bake,3.4/5,Banashankari,"Bakery, Desserts",400
Dharwad Line Bazaar Mishra Pedha,,Banashankari,Mithai,150
Cake Bite,,Banashankari,Bakery,300
Aarush's Food Plaza,,Banashankari,"North Indian, Street Food",200
Wood Stove,,Banashankari,South Indian,150
Kulfi & More,,Banashankari,"Ice Cream, Desserts, Juices",150
Kannadigas Karavali,,Banashankari,"Mangalorean, South Indian, North Indian",250
K27 - The Pub,3.1/5,Banashankari,"Chinese, North Indian","1,000"
Bengaluru Coffee House,4.1/5,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
New Mangalore Lunch Home,3.3/5,Banashankari,"Mangalorean, South Indian, North Indian",200
Coffee Bytes,3.1/5,Banashankari,"Fast Food, South Indian",100
Parjanya Chat Zone,3.3/5,Banashankari,"Street Food, Fast Food",200
Kwality Wall's Swirl's Happiness Station,2.9/5,Banashankari,"Ice Cream, Desserts",200
Soms Kitchen & Bakes,,Banashankari,"South Indian, North Indian, Continental",400
Banashankari Nati Style,,Banashankari,"Biryani, Chinese, South Indian, North Indian",350
Ruchi Maayaka,3.3/5,Banashankari,South Indian,100
Mohitesh Hut Roll,,Banashankari,"Rolls, North Indian",150
Sri Basaveshwar Jolada Rotti Oota,,Banashankari,South Indian,150
Roll Magic Fast Food,NEW,Banashankari,"Biryani, Rolls, Chinese",200
Foodlieious Multi Cuisine,NEW,Banashankari,North Indian,100
Thanishka Nati And Karavali Style,NEW,Banashankari,"Biryani, Fast Food",400
Swathi Cool Point,,Banashankari,"Beverages, Juices",200
Kaumudis Juoice,,Banashankari,"Beverages, Fast Food, Juices",150
Amma - Manae,,Banashankari,South Indian,400
Sri Sai Tiffannies,,Banashankari,"South Indian, Chinese",150
Hotel Andhra Speices,,Banashankari,Andhra,250
Sri Murari Family Restaurant,,Banashankari,Biryani,250
Aramane Donne Biriyani,,Banashankari,"South Indian, Biryani",150
Darkolates,,Banashankari,Desserts,200
Swaada Healthy Kitchen,,Banashankari,"Healthy Food, Juices, Sandwich",350
Gawdaru Mane Beriyani,,Banashankari,"South Indian, Biryani",300
Melting Melodies,NEW,Banashankari,"Pizza, Fast Food",100
New Indraprasta,NEW,Banashankari,"South Indian, Beverages",150
Anna Kuteera,4.0/5,Banashankari,"South Indian, North Indian, Chinese",450
Darbar,3.0/5,Banashankari,"North Indian, Chinese",800
Vijayalakshmi,3.9/5,Basavanagudi,South Indian,200
Sri Udupi Food Hub,4.1/5,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500
Udupi Upahar,3.8/5,Banashankari,"South Indian, Chinese, North Indian, Juices",300
House Of Kebabs,3.8/5,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650
Roll N Rock,3.8/5,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400
BOX8- Desi Meals,4.1/5,Banashankari,"North Indian, Mughlai, Fast Food",500
KFC,3.8/5,Banashankari,"Burger, Fast Food",450
Bitez,NEW,Banashankari,Fast Food,100
Roll Over,4.1/5,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500
Imperial Restaurant,3.7/5,Mysore Road,"North Indian, Chinese, Biryani, Beverages",750
Lassi Shop,3.9/5,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150
The Fortuna,3.0/5,Kumaraswamy Layout,"North Indian, Chinese",250
Wahab,3.7/5,Jayanagar,"North Indian, Mughlai, Chinese",350
Al Diwan Biryanis And More,3.3/5,Basavanagudi,Biryani,300
New Gowda's Fried Chicken,3.3/5,Banashankari,Biryani,300
Canton,3.6/5,Jayanagar,"Chinese, Seafood, Biryani",800
Diabetics Dezire Sugarless Sweets and Bakes,3.3/5,Basavanagudi,"Desserts, Mithai",300
The Blue Wagon - Kitchen,4.6/5,Jayanagar,"Cafe, Beverages",400
HOT COFFEE,4.1/5,Basavanagudi,"South Indian, Chinese",150
Patio 805,4.1/5,Jayanagar,"Thai, Vietnamese, Asian, Chinese","1,200"
Lassi Corner,3.7/5,Basavanagudi,"Beverages, Ice Cream",150
Sagar Deluxe,3.2/5,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300
Kanti Sweets,4.0/5,Banashankari,"Mithai, Street Food",400
Vegetalia,3.7/5,Banashankari,"Italian, Pizza",400
Aramane Donne Biryani,3.5/5,Banashankari,Biryani,200
Ande Ka Funda,3.8/5,Banashankari,"North Indian, Fast Food, Rolls",250
Cake Ghar,3.8/5,Basavanagudi,Bakery,400
Energy Addaa,4.2/5,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500
Bhattara Bhojana,3.6/5,Banashankari,South Indian,150
Tandoori Knight,3.0/5,Banashankari,"North Indian, Chinese, Biryani, Kebab",450
Dev Sagar - Food Street,4.1/5,Basavanagudi,Street Food,200
Mitraa Da Pizza,3.8/5,Kumaraswamy Layout,"Fast Food, Pizza",250
Paradise Premium,3.1/5,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700
Grazers,3.9/5,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650
Shakes Theory,4.5/5,Jayanagar,"Beverages, Sandwich",300
@Italy,4.1/5,Kumaraswamy Layout,Italian,700
Chilli Flakes,3.6/5,Banashankari,"Fast Food, Italian, Beverages",500
Calcutta Cafe,3.5/5,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350
Old Mumbai Ice Cream,3.9/5,Banashankari,Ice Cream,150
Donne Biriyani House,3.9/5,Banashankari,"South Indian, North Indian, Chinese, Biryani",400
By 2 Coffee,3.9/5,Basavanagudi,South Indian,100
Kedia's Fun Food,4.3/5,Jayanagar,"North Indian, Street Food, Juices",200
Davangere Butter Dosa Hotel,3.8/5,Kumaraswamy Layout,South Indian,150
Just Shawarma,3.9/5,Kumaraswamy Layout,Arabian,300
Mini Punjabi Dhaba,4.2/5,Banashankari,North Indian,350
Mulabagilu Dosa,3.6/5,Basavanagudi,South Indian,100
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1/5,Banashankari,Cafe,500
Gokul Veg,3.8/5,Basavanagudi,"North Indian, Chinese, Beverages",750
Olive - Era,3.3/5,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550
Udupi Ruchi,3.9/5,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
Madhappa Hindu Military Hotel,3.4/5,Banashankari,South Indian,300
Gama Gama,3.9/5,Banashankari,South Indian,200
The Vintage Cafe,3.0/5,Banashankari,"Cafe, French, North Indian",400
Pizza Hut,3.8/5,Banashankari,"Pizza, Fast Food",750
Mangalore Pearl,3.8/5,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650
Asha Sweets Centre,3.6/5,Basavanagudi,Fast Food,250
Twiststick House,4.1/5,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500
Cool Corner,4.2/5,Basavanagudi,"Street Food, Fast Food",250
Pizza Mane,3.5/5,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150
Dal Tadkaa,2.5/5,Banashankari,North Indian,500
Chutney Chang,4.1/5,Jayanagar,"North Indian, Chinese, BBQ","1,500"
Mystique Palate,4.1/5,Jayanagar,"Chinese, Fast Food",300
Thamboola,3.9/5,Banashankari,"North Indian, Chinese, Continental",800
Castle Rock,3.6/5,Uttarahalli,"North Indian, Chinese",700
Vietnamese Kitchen,3.6/5,Banashankari,Vietnamese,700
Smacznego,4.2/5,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550
C Corner,3.2/5,Kumaraswamy Layout,"Fast Food, Street Food",200
Paratha Merchant,3.1/5,Kumaraswamy Layout,North Indian,300
North Rasoe,3.1/5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500
Inchara Restaurant,,Basavanagudi,"North Indian, Chinese",300
Toscano,4.3/5,Jayanagar,"Italian, Salad","1,300"
Lord Of The Kitchen,3.9/5,Kumaraswamy Layout,"North Indian, Chinese",350
Stoned Monkey,4.3/5,Banashankari,"Desserts, Ice Cream",500
Central Jail Restaurant,3.8/5,Jayanagar,"Andhra, Seafood, North Indian, Chinese",700
Bella,3.9/5,Jayanagar,"Mangalorean, Seafood, South Indian","1,000"
Vennela Andhra Meals,3.0/5,Jayanagar,Andhra,400
New Prashanth Hotel,3.6/5,Jayanagar,"South Indian, Biryani, Chinese, North Indian",750
The Grillo,2.8/5,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500
Re Malnad Nati Style Hotel,3.6/5,JP Nagar,South Indian,400
Karma Kaapi,4.4/5,Jayanagar,"Beverages, Tea",250
Tiwari's,3.8/5,Jayanagar,"North Indian, Street Food",200
Pizza Stop,3.8/5,Basavanagudi,"Pizza, Italian",600
Biggies Burger 'n' More,3.6/5,Kumaraswamy Layout,"Cafe, Burger, Beverages",650
Srinathji's Cafe,3.8/5,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550
Kollapuri's,3.9/5,Basavanagudi,"South Indian, Mangalorean",450
Sugar Stars Co,,Basavanagudi,"Bakery, Desserts",300
Bombay Kulfis,,JP Nagar,Ice Cream,200
Kadamba Classic,3.6/5,Mysore Road,South Indian,300
RS Shiv Sagar,3.7/5,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",450
Kholi Mane,3.6/5,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",450
Harshi Super Sandwich,3.8/5,Basavanagudi,"Fast Food, Street Food",150
Cake Yard,3.4/5,Basavanagudi,Desserts,250
Rosewood International Hotel - Bar & Restaurant,3.6/5,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800
Sri Udupi Veg,3.3/5,Jayanagar,South Indian,250
Cake Art,3.5/5,Basavanagudi,Bakery,400
Aahar Cafe,,Basavanagudi,South Indian,100
Akash Gowdru Biryani Center,,Uttarahalli,"North Indian, Chinese",300
New Sri Udupi Restaurant,,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",200
Potato House,3.4/5,Uttarahalli,Street Food,200
Hotel Biriyani Counter,,Vijay Nagar,"North Indian, Chinese, Biryani",350
Matru Sagar,3.7/5,Mysore Road,"South Indian, North Indian",300
Ugadi,2.9/5,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700
Sri Krishna Sweets,3.7/5,Basavanagudi,"Mithai, Desserts",250
In Time Cane Juice,3.5/5,Kumaraswamy Layout,"Juices, Beverages",100
Subway,3.7/5,Banashankari,"Salad, Fast Food",600
Daal Roti,2.9/5,Kumaraswamy Layout,"North Indian, Chinese",250
The Lassi Park,4.1/5,Jayanagar,"Juices, Desserts",200
Cafe Coffee Day,3.2/5,Jayanagar,"Cafe, Fast Food",900
A2B - Adyar Ananda Bhavan,3.8/5,Mysore Road,"South Indian, North Indian, Chinese, Street Food",400
Srikrishna Bhavan,3.8/5,Banashankari,"South Indian, North Indian, Chinese",300
Timepass Dinner,3.8/5,Basavanagudi,North Indian,600
Green Gardenia,3.8/5,Banashankari,"North Indian, Chinese",700
J Spice,3.8/5,Banashankari,"North Indian, Chinese",750
Karavali Family Restaurant,3.5/5,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",500
Karavali Lunch Home,3.7/5,Kumaraswamy Layout,"South Indian, Mangalorean",350
Hatti Kaapi,4.0/5,Jayanagar,"South Indian, Beverages",200
Kolkata Kathi Roll's,3.6/5,Banashankari,"Fast Food, Rolls",250
Upahara Darshini,3.9/5,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",600
The Chaat Shop,2.5/5,Basavanagudi,Fast Food,200
Anda Ka Funda,3.4/5,Jayanagar,"North Indian, Chinese, Rolls",250
Shri Vinayaka Ice N Juice,3.2/5,Basavanagudi,"Beverages, Fast Food",150
My Tea House,3.6/5,Banashankari,"Italian, Fast Food, Cafe, European",600
Ibaco,3.9/5,Jayanagar,Desserts,300
Jalaram Sweets,3.8/5,Jayanagar,"Desserts, Mithai",250
Samskruti - Sanman Gardenia,4.1/5,Jayanagar,"North Indian, Chinese, South Indian",550
Bendakaluru Bytes,3.2/5,Vijay Nagar,Fast Food,300
Cocoa Bakes,3.6/5,Banashankari,"Bakery, Desserts",350
Chumma Delicious,3.7/5,Banashankari,"South Indian, Fast Food",200
New Prashanth Hotel,3.9/5,Banashankari,"Biryani, North Indian, Seafood, Andhra",650
SSV Upahar,NEW,Jayanagar,"South Indian, Chinese",300
Dwaraka Grand,3.9/5,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",500
Gufha - The President Hotel,4.1/5,Jayanagar,"North Indian, Afghani, Mughlai","1,200"
Cafe Vivacity,3.8/5,Banashankari,Cafe,650
Tanna's Kitchen,3.1/5,Kumaraswamy Layout,"Italian, Chinese, Street Food",250
Shree Mandarathi Grand,3.7/5,Uttarahalli,"South Indian, North Indian",400
Mojo Pizza - 2X Toppings,4.2/5,Banashankari,Pizza,600
Iceberg Icecreams,4.0/5,Basavanagudi,"Desserts, Ice Cream",250
South Kitchen,4.3/5,Basavanagudi,South Indian,100
Chung Wah,3.7/5,Jayanagar,"Chinese, Thai, Momos",850
Shanthi Sagar,3.1/5,Uttarahalli,"South Indian, North Indian, Chinese",400
Millet Mama,3.9/5,Basavanagudi,"South Indian, Healthy Food",200
Bangarpet Chat Express,3.3/5,Basavanagudi,"Street Food, Fast Food",100
South Cool Point,,Basavanagudi,Beverages,100
Prems Graama Bhojanam,4.3/5,Jayanagar,South Indian,400
Java City,2.6/5,Jayanagar,"Cafe, American, Pizza",450
Kamat Bugle Rock,3.9/5,Basavanagudi,"South Indian, Fast Food",300
Woodee Pizza,3.7/5,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500
Puliyogare Point,4.2/5,Basavanagudi,South Indian,100
Bangalore Agarwal Bhavan,3.9/5,Jayanagar,"Street Food, North Indian, South Indian",400
Rustic Stove,3.8/5,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900
Udupi Ruchi Grand,4.2/5,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
De Thaali,3.9/5,Jayanagar,"North Indian, Chinese, Rolls",550
Spice Elephant,4.1/5,Banashankari,"Chinese, North Indian, Thai",800
Just Thindi,3.6/5,Basavanagudi,South Indian,200
Matru Sagar,3.6/5,Banashankari,"South Indian, North Indian, Chinese",250
Vasanth Vihar - Since 1965,3.6/5,Banashankari,"South Indian, Street Food",150
Sea Spice by 7 Star,4.0/5,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200"
Desi Dawat,3.7/5,Kumaraswamy Layout,"North Indian, Fast Food",400
Cafe Aira,4.1/5,Basavanagudi,"Cafe, Continental, Beverages, Desserts",500
Donne Biriyani combos,,Kumaraswamy Layout,Biryani,400
Penthouse Cafe,4.0/5,Banashankari,"Cafe, Italian, Continental",700
Mast Punjabi,2.6/5,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",400
South Grand,3.4/5,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",400
Catch-up-ino,3.9/5,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800
The Pizzeria,2.8/5,Banashankari,"Pizza, Italian, Salad",800
Cafe Zone,3.9/5,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300
Ruchis Point,3.8/5,Banashankari,"Fast Food, Chinese",200
Firangi Bake,4.0/5,Rajarajeshwari Nagar,"Mexican, Italian",600
The Royal Corner - Pai Viceroy,4.2/5,Jayanagar,"North Indian, Chinese",900
Hara Fine Dine,4.0/5,Banashankari,"North Indian, Chinese",800
Chocoberry,3.5/5,Jayanagar,"Ice Cream, Desserts, Beverages",400
Dakshin Grand,3.0/5,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
Sandwichwallas,3.7/5,Jayanagar,Fast Food,200
Chai Mane,3.6/5,Basavanagudi,"Juices, Fast Food",150
SLV Upachar,3.1/5,Kumaraswamy Layout,"South Indian, Chinese, Street Food",250
Waffle-A-Go Go,3.9/5,Banashankari,"Fast Food, Desserts, Ice Cream",400
Cross Road Cafe,3.9/5,Jayanagar,"Cafe, Fast Food, Chinese",300
Anand Donne Biriyani,3.6/5,Jayanagar,Biryani,200
Seven Star,3.4/5,Banashankari,"North Indian, Chinese",250
Stop 'N' Joy,3.8/5,Banashankari,Fast Food,150
Sri Yaksha Shiv Sagar,3.6/5,Banashankari,"North Indian, Chinese",600
Fudge,3.8/5,Basavanagudi,"Desserts, Momos",200
Just Bunny,3.5/5,Jayanagar,Fast Food,200
Bakers Town,3.8/5,Kumaraswamy Layout,"Cafe, Continental, Fast Food",650
Shree Mahalakshmi Sweets,3.2/5,Banashankari,"Mithai, Street Food",100
Kaapi Kendra,3.7/5,Jayanagar,South Indian,100
Ivy,3.8/5,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",600
The Airos,4.1/5,Jayanagar,"Cafe, Italian, Pizza",650
Chai Kraft,4.1/5,Jayanagar,"Beverages, Tea",100
Kirthi's Biryani,3.8/5,Banashankari,"Chinese, Cafe, Italian",700
South Point Pub,3.4/5,Basavanagudi,"North Indian, Seafood, Chinese",800
The Trundle,3.7/5,Jayanagar,"Chinese, Thai, Continental, North Indian",700
The Krishna Grand Xpress,4.0/5,Jayanagar,"South Indian, Fast Food",350
Sri Krishna Darshini,3.1/5,Basavanagudi,"South Indian, North Indian, Chinese",200
Shringar Sweets & Snacks,3.5/5,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",200
Udupi Grand,3.8/5,Basavanagudi,"South Indian, North Indian, Chinese",300
Ganesh Grand,3.7/5,Basavanagudi,"South Indian, North Indian, Desserts",300
Shreyas Upahar & Burger Point,3.0/5,Basavanagudi,"South Indian, Burger",200
Coffee Tindi,3.8/5,Banashankari,"Cafe, South Indian",200
Little Cafe,3.7/5,Basavanagudi,"Cafe, Beverages",600
Mumbai Badam Milk & Lassi Center,3.6/5,Basavanagudi,"Beverages, Desserts",100
Sri Krishna Sagar,3.2/5,Banashankari,"North Indian, Chinese",400
Mylari Biryani Family Restaurant,3.7/5,Banashankari,"Biryani, Fast Food",400
1980s Games Cafe,3.4/5,Basavanagudi,"Cafe, Fast Food",400
Kadala Tarangaa,3.6/5,Banashankari,"Mangalorean, Seafood, North Indian",600
Namma Biryani,3.6/5,Banashankari,"Biryani, Chinese, North Indian",250
Nandhanu's Rasoi,3.0/5,Kumaraswamy Layout,"Chinese, North Indian",400
Hotel Pork Paradise,3.7/5,Mysore Road,South Indian,300
As On Fire,3.5/5,South Bangalore,"Pizza, Fast Food, BBQ",400
J K Fish Land,3.6/5,Jayanagar,"Seafood, Mangalorean",300
Curry Leaves,4.1/5,Basavanagudi,"Andhra, North Indian, Chinese",800
Lassi Shop,3.5/5,Banashankari,"Beverages, Ice Cream, Fast Food",300
Magic Meals,3.7/5,Jayanagar,"Fast Food, Desserts, Beverages",400
Desi Cream Junction,3.7/5,Jayanagar,"Chinese, North Indian, Pizza, Italian",650
Drunken Monkey,3.8/5,Kumaraswamy Layout,"Beverages, Fast Food",400
Ruchi's Corner,2.7/5,Banashankari,Fast Food,200
Tandoori Bytes,3.6/5,Kumaraswamy Layout,North Indian,700
Bangalore Donne Biriyani,3.2/5,Kumaraswamy Layout,"South Indian, Biryani",300
SGS Non Veg - Gundu Pulav,3.8/5,Banashankari,"Biryani, Fast Food",400
